evidence_level,subset,rul_threshold_tau,late_tolerance_epsilon,mean_difference_ocm_minus_rast,nominal_crossed_ci95_low,nominal_crossed_ci95_high,centered_bootstrap_p,bootstrap_p_mcse,exact_seed_signflip_p,eligible_engine_count,bootstrap_repetitions,holm_adjusted_p_all80,sensitivity_decision
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,20.0,0.0,-0.05,-0.24000000000000005,0.1,0.5813418658134186,0.004933144686196593,0.75,16,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,20.0,0.5,-0.0125,-0.16666666666666669,0.12,0.8871112888711129,0.0031644088949579715,1.0,16,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,20.0,1.0,0.0,-0.12,0.09999999999999999,1.0,0.0,1.0,16,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,20.0,2.0,0.0,-0.054570707070707054,0.05714285714285714,1.0,0.0,1.0,16,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,20.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,16,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,30.0,0.0,-0.04,-0.22001724137931036,0.11002777777777739,0.628937106289371,0.0048306509647559935,0.75,25,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,30.0,0.5,-0.031999999999999994,-0.17000925925925928,0.07272727272727272,0.622937706229377,0.0048462648927153065,1.0,25,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,30.0,1.0,-0.016,-0.1111111111111111,0.07058823529411765,0.7413258674132587,0.004378842900265926,0.8125,25,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,30.0,2.0,0.0,-0.048,0.04444444444444444,1.0,0.0,1.0,25,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,30.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,25,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,40.0,0.0,-0.04285714285714286,-0.2,0.09375,0.5669433056694331,0.004954735557238213,0.6875,28,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,40.0,0.5,-0.03571428571428571,-0.15833333333333333,0.06,0.5308469153084692,0.004990226101685235,0.75,28,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,40.0,1.0,-0.02142857142857143,-0.10667857142857141,0.05454545454545454,0.6005399460053995,0.0048976293498383784,0.625,28,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,40.0,2.0,-0.007142857142857143,-0.059259259259259255,0.034782608695652174,0.8082191780821918,0.003936819016901416,1.0,28,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,40.0,5.0,-0.007142857142857143,-0.04,0.0,0.7741225877412259,0.004181379233671088,1.0,28,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD001,50.0,0.0,-0.07272727272727272,-0.23225806451612904,0.06666666666666668,0.3350664933506649,0.004719901068012569,0.375,33,10000,1.0,no adjusted evidence
