sensor,selected_cells,total_cells,mean_rank,min_rank,max_rank,selection_frequency
s9,20,20,2.5,1,9,1.0
s4,20,20,2.75,1,4,1.0
s11,20,20,4.25,2,6,1.0
s13,20,20,4.55,1,13,1.0
s14,20,20,6.8,2,14,1.0
s3,20,20,7.25,6,10,1.0
s17,20,20,7.95,7,9,1.0
s8,20,20,9.2,5,13,1.0
s2,20,20,9.65,8,11,1.0
s15,19,20,9.35,5,15,0.95
s12,19,20,9.7,3,15,0.95
s7,19,20,10.15,4,16,0.95
s20,11,20,13.7,6,18,0.55
s10,10,20,13.65,9,19,0.5
s16,10,20,15.45,12,18,0.5
s21,6,20,13.5,7,18,0.3
s6,5,20,14.5,11,16,0.25
s18,1,20,17.45,14,19,0.05
s5,0,20,18.6,16,21,0.0
s19,0,20,19.7,18,21,0.0
s1,0,20,20.35,19,21,0.0
