subset,model,display_name,seed,rul_threshold_tau,late_tolerance_epsilon,eligible_engine_count,late_event_count,late_event_rate,conditional_mean_exceedance,conditional_q95_exceedance,zero_inflated_mean_exceedance,conditional_severity_defined
FD001,rast_gru_v2,OCM-Asym,42,20.0,0.0,16,1,0.0625,0.7658424377441406,0.7658424377441406,0.04786515235900879,True
FD001,rast_gru_v2,OCM-Asym,42,20.0,0.5,16,1,0.0625,0.2658424377441406,0.2658424377441406,0.01661515235900879,True
FD001,rast_gru_v2,OCM-Asym,42,20.0,1.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,20.0,2.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,20.0,5.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,30.0,0.0,25,2,0.08,0.48309612274169744,0.7375678062438963,0.03864768981933579,True
FD001,rast_gru_v2,OCM-Asym,42,30.0,0.5,25,1,0.04,0.2658424377441406,0.2658424377441406,0.010633697509765625,True
FD001,rast_gru_v2,OCM-Asym,42,30.0,1.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,30.0,2.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,30.0,5.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,40.0,0.0,28,2,0.07142857142857142,0.48309612274169744,0.7375678062438963,0.03450686591012125,True
FD001,rast_gru_v2,OCM-Asym,42,40.0,0.5,28,1,0.03571428571428571,0.2658424377441406,0.2658424377441406,0.009494372776576452,True
FD001,rast_gru_v2,OCM-Asym,42,40.0,1.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,40.0,2.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,40.0,5.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,50.0,0.0,33,2,0.06060606060606061,0.48309612274169744,0.7375678062438963,0.02927855289343621,True
FD001,rast_gru_v2,OCM-Asym,42,50.0,0.5,33,1,0.030303030303030304,0.2658424377441406,0.2658424377441406,0.008055831446792141,True
FD001,rast_gru_v2,OCM-Asym,42,50.0,1.0,33,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,50.0,2.0,33,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,42,50.0,5.0,33,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,20.0,0.0,16,1,0.0625,0.652206420898441,0.652206420898441,0.040762901306152566,True
FD001,rast_gru_v2,OCM-Asym,123,20.0,0.5,16,1,0.0625,0.15220642089844105,0.15220642089844105,0.009512901306152566,True
FD001,rast_gru_v2,OCM-Asym,123,20.0,1.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,20.0,2.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,20.0,5.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,30.0,0.0,25,1,0.04,0.652206420898441,0.652206420898441,0.026088256835937643,True
FD001,rast_gru_v2,OCM-Asym,123,30.0,0.5,25,1,0.04,0.15220642089844105,0.15220642089844105,0.006088256835937642,True
FD001,rast_gru_v2,OCM-Asym,123,30.0,1.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,30.0,2.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,30.0,5.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,40.0,0.0,28,1,0.03571428571428571,0.652206420898441,0.652206420898441,0.02329308646065861,True
FD001,rast_gru_v2,OCM-Asym,123,40.0,0.5,28,1,0.03571428571428571,0.15220642089844105,0.15220642089844105,0.005435943603515752,True
FD001,rast_gru_v2,OCM-Asym,123,40.0,1.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,40.0,2.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,40.0,5.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,123,50.0,0.0,33,2,0.06060606060606061,3.0616760253906268,5.230198669433594,0.18555612275094707,True
FD001,rast_gru_v2,OCM-Asym,123,50.0,0.5,33,2,0.06060606060606061,2.5616760253906268,4.730198669433594,0.15525309244791677,True
FD001,rast_gru_v2,OCM-Asym,123,50.0,1.0,33,1,0.030303030303030304,4.4711456298828125,4.4711456298828125,0.13548926151160037,True
FD001,rast_gru_v2,OCM-Asym,123,50.0,2.0,33,1,0.030303030303030304,3.4711456298828125,3.4711456298828125,0.10518623120857007,True
FD001,rast_gru_v2,OCM-Asym,123,50.0,5.0,33,1,0.030303030303030304,0.4711456298828125,0.4711456298828125,0.014277140299479166,True
FD001,rast_gru_v2,OCM-Asym,2024,20.0,0.0,16,3,0.1875,1.0798797607421875,1.4737892150878906,0.20247745513916016,True
FD001,rast_gru_v2,OCM-Asym,2024,20.0,0.5,16,2,0.125,0.9617958068847656,0.9752883911132812,0.1202244758605957,True
FD001,rast_gru_v2,OCM-Asym,2024,20.0,1.0,16,2,0.125,0.4617958068847656,0.47528839111328125,0.0577244758605957,True
FD001,rast_gru_v2,OCM-Asym,2024,20.0,2.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2024,20.0,5.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2024,30.0,0.0,25,4,0.16,1.536123275756836,2.6906438827514645,0.24577972412109375,True
FD001,rast_gru_v2,OCM-Asym,2024,30.0,0.5,25,3,0.12,1.4428151448567708,2.2620471954345702,0.1731378173828125,True
