point,condition,reference,metric,mean_difference_condition_minus_p1,paired_seed_bootstrap_ci95_low,paired_seed_bootstrap_ci95_high,probability_condition_lower,seed_count,bootstrap_repetitions,training_condition,test_condition,design_role,claim_limit
RAST,p0,p1,clean_rmse,-0.39942506927860466,-1.5345216338265746,0.5981953637402985,0.7571,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,clean_lpr30,0.05660377358490566,-0.022641509433962294,0.12830188679245286,0.0854,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,clean_signed_bias,0.31043630165438535,-1.0847447620284172,1.9384894201832439,0.3624,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,clean_critical30_signed_bias,0.924248564918086,0.17912447947376164,1.7035876759942972,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,stress_rmse_nine_family_mean,0.0952521055973186,-0.9210901620847434,0.9188327323302623,0.4056,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,stress_lpr30_nine_family_mean,0.06996925227113907,0.0001404612159328522,0.1252375960866527,0.0192,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,stress_critical_30_signed_error_mean_nine_family_mean,1.3711577054143869,0.694177417182156,2.190831901875682,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,stress_critical_30_decision_cost_2_nine_family_mean,1.1597014158662597,0.7198343092130667,1.495182165680693,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,stress_critical_30_decision_cost_5_nine_family_mean,3.6905605371469057,2.5205424147567723,4.987757147956694,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
RAST,p0,p1,stress_critical_30_decision_cost_10_nine_family_mean,7.908659072614649,5.058738198502426,10.85877503613098,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,clean_rmse,-0.6250825601284884,-1.3205182780188736,0.10720757661045255,0.9296,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,clean_lpr30,0.17358490566037738,0.03396226415094337,0.2981132075471698,0.0048,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,clean_signed_bias,2.0681213842284296,0.309691045553454,4.196670601060314,0.0045,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,clean_critical30_signed_bias,1.4732976634547397,-0.21790304633806343,2.654787398284337,0.0503,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,stress_rmse_nine_family_mean,0.26101018844278984,-0.25653562836796484,0.832634521896059,0.198,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,stress_lpr30_nine_family_mean,0.12866596785464712,0.012717679944094961,0.2296785464709993,0.0209,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,stress_critical_30_signed_error_mean_nine_family_mean,2.2644966889951386,0.7338219606045826,3.465716577222679,0.0033,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
Core,p0,p1,stress_critical_30_decision_cost_2_nine_family_mean,2.285418894981272,1.647670326587623,2.923167463374922,0.0,5,10000,no normalized-coordinate augmentation,same declared nine-family perturbation battery,no-overlap augmentation diagnostic; all perturbation families are held out jointly during training,does not isolate individual perturbation families or physical fault robustness
