evidence_level,operating_point,comparator,scenario,metric,mean_curve_difference_point_minus_rast,crossed_bootstrap_ci95_low,crossed_bootstrap_ci95_high,bootstrap_sign_proportion_point_lower,centered_bootstrap_p,training_seed_count,perturbation_seed_count,matched_test_engine_count,bootstrap_repetitions,resampling_design,multiplicity_family,holm_adjusted_p_54,adjusted_evidence_status
RETROSPECTIVE SENSITIVITY,Core,RAST,gaussian_noise,rmse,0.5803724206621581,-0.4225170052724885,1.6504322764583699,0.14066666666666666,0.28257247584138623,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Core,RAST,gaussian_noise,critical_30_late_prediction_ratio,-0.085622641509434,-0.20319544044665006,0.014156991239892175,0.9536666666666667,0.11262912362545818,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Core,RAST,gaussian_noise,critical_30_mean_late_excess,-0.45280729356801747,-1.1532343958738676,0.051438381843383854,0.9583333333333334,0.12029323558813729,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Asym,RAST,gaussian_noise,rmse,1.0806007841475207,-0.2462644015283913,2.2315225078844168,0.049666666666666665,0.08430523158947018,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Asym,RAST,gaussian_noise,critical_30_late_prediction_ratio,-0.07909433962264151,-0.18608473076923068,0.0066504705882353115,0.9646666666666667,0.10496501166277908,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Asym,RAST,gaussian_noise,critical_30_mean_late_excess,-0.3672662119595511,-0.9681712628747329,0.07706476229469278,0.9406666666666667,0.15194935021659448,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Core,RAST,global_sensor_missing,rmse,0.6795163065547207,-0.5189528368590939,1.9858704047016231,0.12833333333333333,0.26491169610129955,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Core,RAST,global_sensor_missing,critical_30_late_prediction_ratio,0.048773584905660194,-0.00892221362229101,0.1087527412280702,0.04666666666666667,0.10229923358880373,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,1.0,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Core,RAST,global_sensor_missing,critical_30_mean_late_excess,2.733295170586066,1.1872146789749933,4.487177671043723,0.0,0.0036654448517160947,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,0.18327224258580474,unresolved after Holm
RETROSPECTIVE SENSITIVITY,Asym,RAST,global_sensor_missing,rmse,0.9889247147432592,0.3365061218298737,1.6428270171632713,0.005,0.007330889703432189,5,5,248,3000,crossed training-seed x perturbation-seed x matched-engine bootstrap,2 operating points x 9 algorithmic perturbation families x 3 metrics,0.35921359546817727,unresolved after Holm
