evidence_level,subset,comparison,metric,mean_difference,nominal_crossed_ci95_low,nominal_crossed_ci95_high,centered_bootstrap_p,bootstrap_p_mcse,minimum_attainable_bootstrap_p,exact_seed_signflip_p,seed_effect_min,seed_effect_max,composite_seed_count,matched_test_engine_count,bootstrap_repetitions,holm_adjusted_p_metric_family,holm_adjusted_p_all12,bootstrap_standard_error,max_t_critical_value_diagnostic,diagnostic_max_t_envelope_low,diagnostic_max_t_envelope_high,max_t_diagnostic_p,max_t_active_contrast,primary_estimation_status
MAIN FIXED-BENCHMARK ESTIMATION,FD001,OCM-Asym minus RAST-GRU,rmse,-0.8061830505561545,-2.086920802227499,0.45337452762124536,0.20277972202779723,0.004020496759953049,9.999000099990002e-05,0.25,-2.4534764881077766,0.1586657093368231,5,100,10000,0.6531346865313469,1.0,0.647714304595812,3.27091387888021,-2.92480075900784,1.3124346578955308,0.8254174582541746,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD001,OCM-Asym minus RAST-GRU,nasa_per_engine,-0.5372056564753684,-1.3877503189565457,0.13564684980598213,0.1391860813918608,0.003461232959583024,9.999000099990002e-05,0.125,-1.3050458094626616,0.2157163690497237,5,100,10000,0.5567443255674432,1.0,0.3789023359327188,3.27091387888021,-1.7765625658178301,0.7021512528670932,0.7176282371762823,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD001,OCM-Asym minus RAST-GRU,lpr30,-0.04,-0.219047619047619,0.1043478260869565,0.6235376462353764,0.004844739192823247,9.999000099990002e-05,0.75,-0.32,0.16,5,100,10000,1.0,1.0,0.08095762555465158,3.27091387888021,-0.304805421027897,0.224805421027897,0.9999000099990001,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD002,OCM-Asym minus RAST-GRU,rmse,-0.2598235648936704,-1.333889174548804,0.85497204875818,0.6103389661033897,0.004876489848302716,9.999000099990002e-05,0.5,-0.8913349347777313,0.9751536259524496,5,259,10000,0.6555344465553444,1.0,0.5438145331392837,3.27091387888021,-2.0385940688757156,1.5189469390883747,1.0,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD002,OCM-Asym minus RAST-GRU,nasa_per_engine,-0.6188223760669692,-1.8155671811948924,0.3327969944900667,0.23757624237576241,0.004255768554190753,9.999000099990002e-05,0.1875,-1.1371072054221556,0.18652746191397362,5,259,10000,0.6143385661433857,1.0,0.5443727169319057,3.27091387888021,-2.3994186511632676,1.161773899029329,0.8846115388461154,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD002,OCM-Asym minus RAST-GRU,lpr30,-0.03606557377049181,-0.15238498789346247,0.06462162162162154,0.5122487751224878,0.004998249543685247,9.999000099990002e-05,0.6875,-0.21311475409836067,0.0819672131147541,5,259,10000,1.0,1.0,0.05512733949987525,3.27091387888021,-0.21638235364637498,0.14425120610539138,0.9948005199480052,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD003,OCM-Asym minus RAST-GRU,rmse,0.6636342737150563,-0.8133439322103417,1.9365241621385618,0.3277672232776722,0.004693760105060685,9.999000099990002e-05,0.25,-0.4224394466713033,2.261029271535472,5,100,10000,0.6555344465553444,1.0,0.7019254717562682,3.27091387888021,-1.63230349379206,2.959572041222173,0.951004899510049,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD003,OCM-Asym minus RAST-GRU,nasa_per_engine,0.9824933445141714,-0.3645838512471941,3.1389980330665854,0.20477952204779523,0.004035202430349906,9.999000099990002e-05,0.1875,-0.13329703539747095,3.063590907295704,5,100,10000,0.6143385661433857,1.0,0.8856187445343681,3.27091387888021,-1.9142892983797606,3.879275987408103,0.8945105489451055,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD003,OCM-Asym minus RAST-GRU,lpr30,0.039999999999999994,-0.07201818181818181,0.1833333333333333,0.5368463153684632,0.0049861557065041424,9.999000099990002e-05,0.625,-0.1,0.19999999999999998,5,100,10000,1.0,1.0,0.06441397321967166,3.27091387888021,-0.1706925589980422,0.25069255899804216,0.9969003099690031,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD004,OCM-Asym minus RAST-GRU,rmse,0.8932754344897049,-0.49582215876034663,2.073461422140389,0.16328367163283672,0.003696058080788235,9.999000099990002e-05,0.25,-1.143222922761229,2.4607059254479875,5,248,10000,0.6531346865313469,1.0,0.6523425644279618,3.27091387888021,-1.240480913282023,3.0270317822614325,0.7492250774922508,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD004,OCM-Asym minus RAST-GRU,nasa_per_engine,-1.2406252314331916,-11.270829065301246,1.57643752105058,0.8232176782321767,0.003814653075970488,9.999000099990002e-05,1.0,-9.646620238802647,1.1994857220475366,5,248,10000,0.8232176782321767,1.0,3.3184081187313934,3.27091387888021,-12.094852402780475,9.61360193991409,1.0,True,fixed-benchmark estimate; no confirmatory decision
MAIN FIXED-BENCHMARK ESTIMATION,FD004,OCM-Asym minus RAST-GRU,lpr30,-0.11698113207547171,-0.2151015965166909,-0.029020737327189128,0.015998400159984,0.0012546265286761064,9.999000099990002e-05,0.0625,-0.24528301886792456,-0.037735849056603765,5,248,10000,0.063993600639936,0.19198080191980801,0.04689375470314479,3.27091387888021,-0.27036656516679214,0.0364043010158487,0.17448255174482552,True,fixed-benchmark estimate; no confirmatory decision
