subset,metric,composite_seed,ocm_asym_minus_rast,matched_test_engine_count,role
FD001,rmse,42,0.1586657093368231,100,seed-level paired diagnostic; fixed task
FD001,rmse,123,-2.453476488107775,100,seed-level paired diagnostic; fixed task
FD001,rmse,2024,-1.0176548414866833,100,seed-level paired diagnostic; fixed task
FD001,rmse,2025,-0.8226257793209104,100,seed-level paired diagnostic; fixed task
FD001,rmse,2026,0.10417614679777287,100,seed-level paired diagnostic; fixed task
FD001,nasa_per_engine,42,-0.35006799653037834,100,seed-level paired diagnostic; fixed task
FD001,nasa_per_engine,123,-0.8631151197425133,100,seed-level paired diagnostic; fixed task
FD001,nasa_per_engine,2024,-1.3050458094626611,100,seed-level paired diagnostic; fixed task
FD001,nasa_per_engine,2025,-0.3835157256910122,100,seed-level paired diagnostic; fixed task
FD001,nasa_per_engine,2026,0.21571636904972324,100,seed-level paired diagnostic; fixed task
FD001,lpr30,42,0.04,100,seed-level paired diagnostic; fixed task
FD001,lpr30,123,-0.04,100,seed-level paired diagnostic; fixed task
FD001,lpr30,2024,-0.04000000000000001,100,seed-level paired diagnostic; fixed task
FD001,lpr30,2025,0.16,100,seed-level paired diagnostic; fixed task
FD001,lpr30,2026,-0.32,100,seed-level paired diagnostic; fixed task
FD002,rmse,42,-0.5808090645529909,259,seed-level paired diagnostic; fixed task
FD002,rmse,123,0.9751536259524496,259,seed-level paired diagnostic; fixed task
FD002,rmse,2024,-0.5886861926607594,259,seed-level paired diagnostic; fixed task
FD002,rmse,2025,-0.8913349347777277,259,seed-level paired diagnostic; fixed task
FD002,rmse,2026,-0.21344125842931838,259,seed-level paired diagnostic; fixed task
FD002,nasa_per_engine,42,-0.014057320081542812,259,seed-level paired diagnostic; fixed task
FD002,nasa_per_engine,123,-1.1371072054221552,259,seed-level paired diagnostic; fixed task
FD002,nasa_per_engine,2024,-1.1228281470324912,259,seed-level paired diagnostic; fixed task
FD002,nasa_per_engine,2025,-1.0066466697126302,259,seed-level paired diagnostic; fixed task
FD002,nasa_per_engine,2026,0.1865274619139745,259,seed-level paired diagnostic; fixed task
FD002,lpr30,42,0.0819672131147541,259,seed-level paired diagnostic; fixed task
FD002,lpr30,123,0.01639344262295081,259,seed-level paired diagnostic; fixed task
FD002,lpr30,2024,-0.09836065573770492,259,seed-level paired diagnostic; fixed task
FD002,lpr30,2025,0.032786885245901634,259,seed-level paired diagnostic; fixed task
FD002,lpr30,2026,-0.21311475409836067,259,seed-level paired diagnostic; fixed task
FD003,rmse,42,0.8820647296595503,100,seed-level paired diagnostic; fixed task
FD003,rmse,123,-0.1798275406903791,100,seed-level paired diagnostic; fixed task
FD003,rmse,2024,2.2610292715354756,100,seed-level paired diagnostic; fixed task
FD003,rmse,2025,-0.4224394466713015,100,seed-level paired diagnostic; fixed task
FD003,rmse,2026,0.7773443547419419,100,seed-level paired diagnostic; fixed task
FD003,nasa_per_engine,42,1.6564307980709492,100,seed-level paired diagnostic; fixed task
FD003,nasa_per_engine,123,0.04380339123439425,100,seed-level paired diagnostic; fixed task
FD003,nasa_per_engine,2024,3.063590907295705,100,seed-level paired diagnostic; fixed task
FD003,nasa_per_engine,2025,-0.13329703539746962,100,seed-level paired diagnostic; fixed task
FD003,nasa_per_engine,2026,0.2819386613672834,100,seed-level paired diagnostic; fixed task
FD003,lpr30,42,0.19999999999999998,100,seed-level paired diagnostic; fixed task
FD003,lpr30,123,0.0,100,seed-level paired diagnostic; fixed task
FD003,lpr30,2024,-0.05,100,seed-level paired diagnostic; fixed task
FD003,lpr30,2025,0.15000000000000002,100,seed-level paired diagnostic; fixed task
FD003,lpr30,2026,-0.1,100,seed-level paired diagnostic; fixed task
FD004,rmse,42,1.7649901473298435,248,seed-level paired diagnostic; fixed task
FD004,rmse,123,-1.1432229227612307,248,seed-level paired diagnostic; fixed task
FD004,rmse,2024,0.8658098491217316,248,seed-level paired diagnostic; fixed task
FD004,rmse,2025,0.5180941733101925,248,seed-level paired diagnostic; fixed task
FD004,rmse,2026,2.4607059254479875,248,seed-level paired diagnostic; fixed task
FD004,nasa_per_engine,42,0.5871257295024375,248,seed-level paired diagnostic; fixed task
FD004,nasa_per_engine,123,-9.64662023880265,248,seed-level paired diagnostic; fixed task
FD004,nasa_per_engine,2024,0.731913479196689,248,seed-level paired diagnostic; fixed task
FD004,nasa_per_engine,2025,0.9249691508900275,248,seed-level paired diagnostic; fixed task
FD004,nasa_per_engine,2026,1.1994857220475361,248,seed-level paired diagnostic; fixed task
FD004,lpr30,42,-0.037735849056603765,248,seed-level paired diagnostic; fixed task
FD004,lpr30,123,-0.07547169811320753,248,seed-level paired diagnostic; fixed task
FD004,lpr30,2024,-0.11320754716981135,248,seed-level paired diagnostic; fixed task
FD004,lpr30,2025,-0.11320754716981132,248,seed-level paired diagnostic; fixed task
FD004,lpr30,2026,-0.24528301886792456,248,seed-level paired diagnostic; fixed task
