engine_count,seed_sd,method,estimand,estimate,monte_carlo_se,simulations,bootstrap_repetitions_per_simulation,interpretation
100,0.5,crossed_percentile,null-coverage,0.88,0.01876166303929372,300,499,"design-matched illustrative calibration, not a proof of validity"
100,0.5,product_weighted_percentile,null-coverage,0.86,0.020033305601755626,300,499,"design-matched illustrative calibration, not a proof of validity"
100,0.5,crossed_centered,null-rejection-rate,0.11666666666666667,0.01853425257512475,300,499,"design-matched illustrative calibration, not a proof of validity"
100,0.5,exact_seed_signflip,null-rejection-rate,0.0,0.0,300,499,"design-matched illustrative calibration, not a proof of validity"
100,1.0,crossed_percentile,null-coverage,0.8633333333333333,0.01983169927909095,300,499,"design-matched illustrative calibration, not a proof of validity"
100,1.0,product_weighted_percentile,null-coverage,0.8333333333333334,0.021516574145596757,300,499,"design-matched illustrative calibration, not a proof of validity"
100,1.0,crossed_centered,null-rejection-rate,0.13333333333333333,0.019626135258506327,300,499,"design-matched illustrative calibration, not a proof of validity"
100,1.0,exact_seed_signflip,null-rejection-rate,0.0,0.0,300,499,"design-matched illustrative calibration, not a proof of validity"
248,0.5,crossed_percentile,null-coverage,0.8866666666666667,0.01830199341500709,300,499,"design-matched illustrative calibration, not a proof of validity"
248,0.5,product_weighted_percentile,null-coverage,0.8733333333333333,0.019202623277582175,300,499,"design-matched illustrative calibration, not a proof of validity"
248,0.5,crossed_centered,null-rejection-rate,0.10333333333333333,0.01757418139919615,300,499,"design-matched illustrative calibration, not a proof of validity"
248,0.5,exact_seed_signflip,null-rejection-rate,0.0,0.0,300,499,"design-matched illustrative calibration, not a proof of validity"
248,1.0,crossed_percentile,null-coverage,0.8433333333333334,0.02098588590952041,300,499,"design-matched illustrative calibration, not a proof of validity"
248,1.0,product_weighted_percentile,null-coverage,0.8266666666666667,0.02185473929447866,300,499,"design-matched illustrative calibration, not a proof of validity"
248,1.0,crossed_centered,null-rejection-rate,0.13333333333333333,0.019626135258506327,300,499,"design-matched illustrative calibration, not a proof of validity"
248,1.0,exact_seed_signflip,null-rejection-rate,0.0,0.0,300,499,"design-matched illustrative calibration, not a proof of validity"
