normalization,seed,q,epsilon_fraction,J,J_plus_1,J_plus_1_minus_J_delta_lpr
global,42,0.05,0.0,0.08333333333333337,0.08333333333333337,0.0
global,42,0.05,0.02,-0.08333333333333337,-0.11111111111111116,-0.02777777777777779
global,42,0.05,0.05,-0.29166666666666663,-0.29166666666666663,0.0
global,42,0.1,0.0,-0.06628787878787878,-0.06628787878787878,0.0
global,42,0.1,0.02,-0.16310160427807485,-0.17780748663101598,-0.014705882352941124
global,42,0.1,0.05,-0.15508021390374332,-0.15508021390374332,0.0
global,42,0.2,0.0,-0.12962793813177442,-0.12962793813177442,0.0
global,42,0.2,0.02,-0.15967908902691513,-0.15616246498599434,0.0035166240409207905
global,42,0.2,0.05,-0.0780812324929972,-0.0780812324929972,0.0
global,123,0.05,0.0,0.0,0.0,0.0
global,123,0.05,0.02,0.0,0.0,0.0
global,123,0.05,0.05,0.0,0.0,0.0
global,123,0.1,0.0,0.0,0.0,0.0
global,123,0.1,0.02,0.0,0.0,0.0
global,123,0.1,0.05,-0.02941176470588236,-0.02941176470588236,0.0
global,123,0.2,0.0,-0.051470588235294046,-0.051470588235294046,0.0
global,123,0.2,0.02,-0.08407928388746799,-0.08407928388746799,0.0
global,123,0.2,0.05,-0.15240226525392764,-0.15240226525392764,0.0
global,2024,0.05,0.0,0.0,0.0,0.0
global,2024,0.05,0.02,0.0,0.0,0.0
global,2024,0.05,0.05,0.0,0.0,0.0
global,2024,0.1,0.0,0.0,0.0,0.0
global,2024,0.1,0.02,0.0,0.0,0.0
global,2024,0.1,0.05,-0.02941176470588236,-0.044117647058823595,-0.014705882352941235
global,2024,0.2,0.0,-0.0402813299232736,-0.0402813299232736,0.0
global,2024,0.2,0.02,-0.08479478748020952,-0.08479478748020952,0.0
global,2024,0.2,0.05,-0.1240256972354159,-0.13137863841188657,-0.007352941176470673
global,2025,0.05,0.0,0.09722222222222221,0.09722222222222221,0.0
global,2025,0.05,0.02,0.18055555555555552,0.18055555555555552,0.0
global,2025,0.05,0.05,0.0,0.0,0.0
global,2025,0.1,0.0,0.08700980392156876,0.08700980392156876,0.0
global,2025,0.1,0.02,0.1409313725490196,0.1409313725490196,0.0
global,2025,0.1,0.05,0.0,0.0,0.0
global,2025,0.2,0.0,0.059782608695652106,0.059782608695652106,0.0
global,2025,0.2,0.02,0.015664961636828678,0.015664961636828678,0.0
global,2025,0.2,0.05,-0.016666666666666663,-0.016666666666666663,0.0
global,2026,0.05,0.0,-0.45833333333333337,-0.45833333333333337,0.0
global,2026,0.05,0.02,-0.5,-0.5,0.0
global,2026,0.05,0.05,-0.5,-0.5,0.0
global,2026,0.1,0.0,-0.40909090909090906,-0.40909090909090906,0.0
global,2026,0.1,0.02,-0.5,-0.5,0.0
global,2026,0.1,0.05,-0.5,-0.5,0.0
global,2026,0.2,0.0,-0.2866581415174766,-0.2866581415174766,0.0
global,2026,0.2,0.02,-0.4278559249786871,-0.4387254901960784,-0.010869565217391353
global,2026,0.2,0.05,-0.5185421994884911,-0.5185421994884911,0.0
temperature,42,0.05,0.0,0.20833333333333326,0.20833333333333326,0.0
temperature,42,0.05,0.02,-0.3194444444444444,-0.3194444444444444,0.0
temperature,42,0.05,0.05,-0.25,-0.25,0.0
temperature,42,0.1,0.0,0.10968137254901955,0.10968137254901955,0.0
temperature,42,0.1,0.02,-0.4037433155080214,-0.4037433155080214,0.0
temperature,42,0.1,0.05,-0.25,-0.25,0.0
temperature,42,0.2,0.0,0.008844842284739918,0.008844842284739918,0.0
temperature,42,0.2,0.02,-0.2734593837535014,-0.2734593837535014,0.0
temperature,42,0.2,0.05,-0.18452380952380953,-0.18452380952380953,0.0
temperature,123,0.05,0.0,0.0,0.0,0.0
temperature,123,0.05,0.02,0.25,0.25,0.0
temperature,123,0.05,0.05,0.0,0.0,0.0
temperature,123,0.1,0.0,-0.08333333333333348,-0.08333333333333348,0.0
temperature,123,0.1,0.02,0.125,0.125,0.0
temperature,123,0.1,0.05,0.0,0.0,0.0
