normalization,seed,denominator_definition,q,epsilon_fraction,delta_macro_rmse_cycles,delta_macro_lpr,core_pooled_events,asym_pooled_events,core_pooled_eligible,asym_pooled_eligible,role
global,42,J,0.05,0.0,5.162531018435686,0.08333333333333337,20,22,25,25,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.05,0.02,5.162531018435686,-0.08333333333333337,19,17,25,25,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.05,0.05,5.162531018435686,-0.29166666666666663,14,4,25,25,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.1,0.0,5.162531018435686,-0.06628787878787878,38,35,48,48,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.1,0.02,5.162531018435686,-0.16310160427807485,31,21,48,48,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.1,0.05,5.162531018435686,-0.15508021390374332,18,8,48,48,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.2,0.0,5.162531018435686,-0.12962793813177442,72,58,93,93,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.2,0.02,5.162531018435686,-0.15967908902691513,58,38,93,93,post-registration definition sensitivity; four batteries are the independent units
global,42,J,0.2,0.05,5.162531018435686,-0.0780812324929972,25,15,93,93,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.05,0.0,5.162531018435686,0.08333333333333337,20,22,25,25,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.05,0.02,5.162531018435686,-0.11111111111111116,19,16,25,25,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.05,0.05,5.162531018435686,-0.29166666666666663,14,4,25,25,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.1,0.0,5.162531018435686,-0.06628787878787878,38,35,48,48,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.1,0.02,5.162531018435686,-0.17780748663101598,31,20,48,48,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.1,0.05,5.162531018435686,-0.15508021390374332,18,8,48,48,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.2,0.0,5.162531018435686,-0.12962793813177442,72,58,93,93,post-registration definition sensitivity; four batteries are the independent units
global,42,J_plus_1,0.2,0.02,5.162531018435686,-0.15616246498599434,57,37,93,93,post-registration definition sensitivity; four batteries are the independent units
