normalization,model,seed,unit_id,denominator_definition,q,epsilon_fraction,rmse_cycles,eligible_windows,late_events,lpr
global,core,42,B0007,J,0.05,0.0,57.52048517593471,9,9,1.0
global,core,42,B0044,J,0.05,0.0,26.361064803013004,6,1,0.16666666666666666
global,core,42,B0048,J,0.05,0.0,8.688963346821211,4,4,1.0
global,core,42,B0055,J,0.05,0.0,21.13530027740174,6,6,1.0
global,core,42,B0007,J,0.05,0.02,57.52048517593471,9,9,1.0
global,core,42,B0044,J,0.05,0.02,26.361064803013004,6,0,0.0
global,core,42,B0048,J,0.05,0.02,8.688963346821211,4,4,1.0
global,core,42,B0055,J,0.05,0.02,21.13530027740174,6,6,1.0
global,core,42,B0007,J,0.05,0.05,57.52048517593471,9,9,1.0
global,core,42,B0044,J,0.05,0.05,26.361064803013004,6,0,0.0
global,core,42,B0048,J,0.05,0.05,8.688963346821211,4,4,1.0
global,core,42,B0055,J,0.05,0.05,21.13530027740174,6,1,0.16666666666666666
global,core,42,B0007,J,0.1,0.0,57.52048517593471,17,17,1.0
global,core,42,B0044,J,0.1,0.0,26.361064803013004,12,4,0.3333333333333333
global,core,42,B0048,J,0.1,0.0,8.688963346821211,8,8,1.0
global,core,42,B0055,J,0.1,0.0,21.13530027740174,11,9,0.8181818181818182
global,core,42,B0007,J,0.1,0.02,57.52048517593471,17,17,1.0
global,core,42,B0044,J,0.1,0.02,26.361064803013004,12,0,0.0
global,core,42,B0048,J,0.1,0.02,8.688963346821211,8,8,1.0
global,core,42,B0055,J,0.1,0.02,21.13530027740174,11,6,0.5454545454545454
global,core,42,B0007,J,0.1,0.05,57.52048517593471,17,9,0.5294117647058824
global,core,42,B0044,J,0.1,0.05,26.361064803013004,12,0,0.0
global,core,42,B0048,J,0.1,0.05,8.688963346821211,8,8,1.0
global,core,42,B0055,J,0.1,0.05,21.13530027740174,11,1,0.09090909090909091
global,core,42,B0007,J,0.2,0.0,57.52048517593471,34,34,1.0
global,core,42,B0044,J,0.2,0.0,26.361064803013004,23,14,0.6086956521739131
global,core,42,B0048,J,0.2,0.0,8.688963346821211,15,15,1.0
global,core,42,B0055,J,0.2,0.0,21.13530027740174,21,9,0.42857142857142855
global,core,42,B0007,J,0.2,0.02,57.52048517593471,34,31,0.9117647058823529
global,core,42,B0044,J,0.2,0.02,26.361064803013004,23,6,0.2608695652173913
global,core,42,B0048,J,0.2,0.02,8.688963346821211,15,15,1.0
global,core,42,B0055,J,0.2,0.02,21.13530027740174,21,6,0.2857142857142857
global,core,42,B0007,J,0.2,0.05,57.52048517593471,34,9,0.2647058823529412
global,core,42,B0044,J,0.2,0.05,26.361064803013004,23,0,0.0
global,core,42,B0048,J,0.2,0.05,8.688963346821211,15,15,1.0
global,core,42,B0055,J,0.2,0.05,21.13530027740174,21,1,0.047619047619047616
global,core,42,B0007,J_plus_1,0.05,0.0,57.52048517593471,9,9,1.0
global,core,42,B0044,J_plus_1,0.05,0.0,26.361064803013004,6,1,0.16666666666666666
