subset,seed,left_point,right_point,maintenance_lead_cycles,late_to_early_cost_ratio,independent_unit,design_role,left_service_rate,right_service_rate,delta_service_rate,left_false_late_rate,right_false_late_rate,delta_false_late_rate,left_false_early_rate,right_false_early_rate,delta_false_early_rate,left_decision_cost_per_engine,right_decision_cost_per_engine,delta_decision_cost_per_engine,action_disagreement_rate,n_engines
FD001,42,asym,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.1,-0.010000000000000009,0.0,0.0,0.0,0.02,0.03,-0.009999999999999998,0.02,0.03,-0.009999999999999998,0.01,100
FD001,42,core,rast,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.1,-0.020000000000000004,0.0,0.0,0.0,0.01,0.03,-0.019999999999999997,0.01,0.03,-0.019999999999999997,0.02,100
FD001,42,asym,core,10.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.08,0.009999999999999995,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,100
FD001,42,asym,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.1,-0.010000000000000009,0.0,0.0,0.0,0.02,0.03,-0.009999999999999998,0.02,0.03,-0.009999999999999998,0.01,100
FD001,42,core,rast,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.1,-0.020000000000000004,0.0,0.0,0.0,0.01,0.03,-0.019999999999999997,0.01,0.03,-0.019999999999999997,0.02,100
FD001,42,asym,core,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.08,0.009999999999999995,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,100
FD001,42,asym,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.1,-0.010000000000000009,0.0,0.0,0.0,0.02,0.03,-0.009999999999999998,0.02,0.03,-0.009999999999999998,0.01,100
FD001,42,core,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.08,0.1,-0.020000000000000004,0.0,0.0,0.0,0.01,0.03,-0.019999999999999997,0.01,0.03,-0.019999999999999997,0.02,100
FD001,42,asym,core,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.09,0.08,0.009999999999999995,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.01,0.01,0.01,100
FD001,42,asym,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.2,0.009999999999999981,0.0,0.0,0.0,0.05,0.04,0.010000000000000002,0.05,0.04,0.010000000000000002,0.01,100
FD001,42,core,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.2,-0.020000000000000018,0.01,0.0,0.01,0.03,0.04,-0.010000000000000002,0.05,0.04,0.010000000000000002,0.02,100
FD001,42,asym,core,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.18,0.03,0.0,0.01,-0.01,0.05,0.03,0.020000000000000004,0.05,0.05,0.0,0.03,100
FD001,42,asym,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.2,0.009999999999999981,0.0,0.0,0.0,0.05,0.04,0.010000000000000002,0.05,0.04,0.010000000000000002,0.01,100
FD001,42,core,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.2,-0.020000000000000018,0.01,0.0,0.01,0.03,0.04,-0.010000000000000002,0.08,0.04,0.04,0.02,100
FD001,42,asym,core,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.18,0.03,0.0,0.01,-0.01,0.05,0.03,0.020000000000000004,0.05,0.08,-0.03,0.03,100
FD001,42,asym,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.2,0.009999999999999981,0.0,0.0,0.0,0.05,0.04,0.010000000000000002,0.05,0.04,0.010000000000000002,0.01,100
FD001,42,core,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.18,0.2,-0.020000000000000018,0.01,0.0,0.01,0.03,0.04,-0.010000000000000002,0.13,0.04,0.09,0.02,100
FD001,42,asym,core,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.21,0.18,0.03,0.0,0.01,-0.01,0.05,0.03,0.020000000000000004,0.05,0.13,-0.08,0.03,100
FD001,42,asym,rast,30.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.28,0.28,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.03,0.0,0.0,100
