left_point,right_point,maintenance_lead_cycles,late_to_early_cost_ratio,equal_task_seed_mean_delta_cost,median_delta_cost,left_lower_cells,ties,right_lower_cells,mean_action_disagreement_rate,mean_delta_false_late_rate,mean_delta_false_early_rate,task_seed_cells,interpretation
asym,core,10.0,2.0,-0.0017450180595341889,0.0,9,3,8,0.020199806949806946,0.0007722007722007722,-0.003289419603935734,20,finite-design policy sensitivity; lower cost is preferable
asym,core,10.0,5.0,0.0005715842570681289,0.0,8,4,8,0.020199806949806946,0.0007722007722007722,-0.003289419603935734,20,finite-design policy sensitivity; lower cost is preferable
asym,core,10.0,10.0,0.004432588118071991,0.0019305019305019336,7,3,10,0.020199806949806946,0.0007722007722007722,-0.003289419603935734,20,finite-design policy sensitivity; lower cost is preferable
asym,core,20.0,2.0,-0.001868476771702577,0.0,9,6,5,0.01718199651264167,-0.0027016129032258066,0.003534749034749035,20,finite-design policy sensitivity; lower cost is preferable
asym,core,20.0,5.0,-0.009973315481379998,-0.004032258064516129,11,5,4,0.01718199651264167,-0.0027016129032258066,0.003534749034749035,20,finite-design policy sensitivity; lower cost is preferable
asym,core,20.0,10.0,-0.023481379997509034,-0.004032258064516129,11,5,4,0.01718199651264167,-0.0027016129032258066,0.003534749034749035,20,finite-design policy sensitivity; lower cost is preferable
asym,core,30.0,2.0,-0.00255396064267032,0.0,7,7,6,0.012129623863494832,-0.0015967741935483868,0.0006395877444264535,20,finite-design policy sensitivity; lower cost is preferable
asym,core,30.0,5.0,-0.007344283223315482,0.0,6,7,7,0.012129623863494832,-0.0015967741935483868,0.0006395877444264535,20,finite-design policy sensitivity; lower cost is preferable
asym,core,30.0,10.0,-0.01532815419105742,0.0,6,7,7,0.012129623863494832,-0.0015967741935483868,0.0006395877444264535,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,10.0,2.0,0.0016765163781292795,0.0,8,4,8,0.02275924772698966,-0.001121964130028646,0.003920444638186573,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,10.0,5.0,-0.0016893760119566562,-0.0020161290322580627,10,3,7,0.02275924772698966,-0.001121964130028646,0.003920444638186573,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,10.0,10.0,-0.007299196662099885,-0.007016129032258062,11,3,6,0.02275924772698966,-0.001121964130028646,0.003920444638186573,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,20.0,2.0,-0.003007566322082451,-0.003861003861003862,11,3,6,0.01779440154440154,-0.0014027276124050317,-0.00020211109727238732,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,20.0,5.0,-0.007215749159297546,-0.003861003861003862,11,2,7,0.01779440154440154,-0.0014027276124050317,-0.00020211109727238732,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,20.0,10.0,-0.014229387221322701,-0.003861003861003862,11,2,7,0.01779440154440154,-0.0014027276124050317,-0.00020211109727238732,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,30.0,2.0,0.0032717025781541912,0.0,4,8,8,0.01242701457217586,0.00019354838709677424,0.002884605803960642,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,30.0,5.0,0.0038523477394445125,0.0,6,7,7,0.01242701457217586,0.00019354838709677424,0.002884605803960642,20,finite-design policy sensitivity; lower cost is preferable
asym,rast,30.0,10.0,0.004820089674928382,0.0,7,6,7,0.01242701457217586,0.00019354838709677424,0.002884605803960642,20,finite-design policy sensitivity; lower cost is preferable
core,rast,10.0,2.0,0.003421534437663469,0.0,7,5,8,0.024067785527462946,-0.0018941649022294182,0.007209864242122307,20,finite-design policy sensitivity; lower cost is preferable
core,rast,10.0,5.0,-0.002260960269024786,0.0,8,3,9,0.024067785527462946,-0.0018941649022294182,0.007209864242122307,20,finite-design policy sensitivity; lower cost is preferable
core,rast,10.0,10.0,-0.011731784780171877,-0.010791505791505788,12,3,5,0.024067785527462946,-0.0018941649022294182,0.007209864242122307,20,finite-design policy sensitivity; lower cost is preferable
core,rast,20.0,2.0,-0.0011390895503798734,-0.0019305019305019301,10,3,7,0.02134836218707186,0.001298885290820775,-0.003736860132021423,20,finite-design policy sensitivity; lower cost is preferable
core,rast,20.0,5.0,0.0027575663220824513,-0.009032258064516126,13,0,7,0.02134836218707186,0.001298885290820775,-0.003736860132021423,20,finite-design policy sensitivity; lower cost is preferable
core,rast,20.0,10.0,0.00925199277618633,-0.010000000000000005,13,0,7,0.02134836218707186,0.001298885290820775,-0.003736860132021423,20,finite-design policy sensitivity; lower cost is preferable
core,rast,30.0,2.0,0.0058256632208245115,0.003946630962759993,4,5,11,0.016417455473907085,0.0017903225806451615,0.002245018059534189,20,finite-design policy sensitivity; lower cost is preferable
core,rast,30.0,5.0,0.011196630962759992,0.0019305019305019301,5,5,10,0.016417455473907085,0.0017903225806451615,0.002245018059534189,20,finite-design policy sensitivity; lower cost is preferable
core,rast,30.0,10.0,0.020148243865985814,0.0019305019305019301,5,5,10,0.016417455473907085,0.0017903225806451615,0.002245018059534189,20,finite-design policy sensitivity; lower cost is preferable
